,pallets,weight,distance,avg_gas_price,quote,isMajorCity,shipmentType
231,2.0,1200,523.0,3.711,481.19,False,LTL
232,2.0,1200,57.0,3.711,100.0,False,Sprinter Van
233,2.0,1000,15.0,3.711,103.0,False,Sprinter Van
234,5.0,4300,991.0,3.711,2200.0,False,Box Truck
235,3.0,1900,133.0,3.666,700.0,False,Box Truck
236,2.0,1300,1833.0,3.666,1181.55,False,Multiple
237,2.0,1000,931.0,3.666,699.93,False,LTL
238,2.0,1300,181.0,3.666,600.0,False,Box Truck
239,2.0,1200,2835.0,3.666,1184.99,False,Multiple
240,2.0,1500,2419.0,3.666,1369.67,False,Multiple
241,2.0,1200,979.0,3.666,664.59,False,LTL
242,2.0,1200,200.0,3.666,80.81,False,Sprinter Van
243,2.0,1200,194.0,3.666,80.81,False,Sprinter Van
244,2.0,1300,2202.0,3.666,1065.72,False,LTL
245,1.0,700,24.0,3.666,80.81,False,Sprinter Van
246,2.0,1500,965.0,3.666,695.36,False,LTL
247,6.0,5800,936.0,3.684,2582.07,True,Multiple
248,2.0,1800,969.0,3.684,680.95,False,LTL
249,2.0,1200,2206.0,3.684,1049.5,True,LTL
250,2.0,1800,1328.0,3.684,867.54,False,LTL
251,2.0,2000,100.0,3.684,700.0,False,Box Truck
252,2.0,800,10.0,3.684,40.41,False,Sprinter Van
253,2.0,1000,91.0,3.684,550.0,False,Box Truck
254,2.0,1000,735.0,3.684,654.82,False,LTL
255,4.0,4000,80.0,3.684,700.0,False,Box Truck
257,3.0,2200,878.0,3.684,966.44,False,LTL
258,2.0,1400,1538.0,3.684,976.16,False,LTL
259,2.0,2000,926.0,3.684,1005.37,False,LTL
260,2.0,1000,1894.0,3.684,1283.93,False,Multiple
261,2.0,2100,1050.0,3.684,765.75,False,Multiple
262,4.0,3400,974.0,3.684,2555.0,True,Box Truck
263,5.0,3600,435.0,3.684,1665.0,False,Box Truck
264,2.0,1800,1000.0,3.684,653.16,False,LTL
265,2.0,1200,23.0,3.712,80.81,False,Sprinter Van
266,2.0,1800,856.0,3.712,675.56,False,LTL
267,2.0,1000,10.0,3.712,80.81,False,Sprinter Van
