,pallets,weight,distance,avg_gas_price,quote,Old Calculator,Old Calculator - With 15% Cost Cushion,ML Calculator Results
110,2.0,2000,926.0,3.684,1005.37,593.628,716.8058100000001,764.9079564359979
111,2.0,1800,1000.0,3.684,653.16,610.5,737.17875,795.7123015232035
112,2.0,1800,856.0,3.712,675.56,577.668,697.53411,691.2401603959455
113,2.0,1100,1186.0,3.712,752.96,652.908,788.38641,849.7621481915684
114,2.0,1400,866.0,3.712,741.82,579.948,700.28721,654.2920105890071
115,5.0,3600,883.0,3.712,1312.09,1200.81,1449.978075,1247.1969296656598
116,2.0,800,400.0,3.712,570.24,473.7,571.99275,255.34920594360722
117,2.0,1000,1196.0,3.712,845.73,655.188,791.13951,845.88146073882
118,2.0,1200,533.0,3.712,567.63,504.024,608.60898,394.42509573121913
119,3.0,3400,2175.0,3.712,2800.0,1231.3500000000001,1486.8551250000003,1922.3597578227686
120,2.0,1000,796.0,3.712,616.47,563.988,681.0155100000001,560.2094607928807
121,2.0,1000,1915.0,3.954,955.41,819.12,989.0874000000001,1345.2871121592827
122,2.0,900,793.0,3.954,433.85,563.304,680.18958,532.954664859526
123,3.0,1800,515.0,3.954,543.92,663.63,801.333225,546.3713903424095
124,2.0,1000,970.0,3.954,539.63,603.66,728.91945,670.387012287001
125,2.0,1000,871.0,3.954,868.81,581.088,701.6637599999999,599.6831923003809
126,2.0,1200,968.0,3.954,853.15,603.204,728.3688299999999,691.0036271900647
127,2.0,1000,851.0,3.958,470.0,576.528,696.15756,585.1667035678383
128,2.0,1000,925.0,3.958,825.06,593.4,716.5305,638.0160235578371
129,3.0,1000,1012.0,3.958,660.17,833.604,1006.5768300000001,812.9060619288199
130,2.0,1000,935.0,3.958,1303.37,595.6800000000001,719.2836000000001,645.1578235564856
131,2.0,1000,935.0,3.958,1303.37,595.6800000000001,719.2836000000001,645.1578235564856
132,2.0,1200,1182.0,3.958,513.35,651.9960000000001,787.2851700000001,843.6052584258965
